layer,scope,stratum,n_traces,n_pos,n_neg,n_points,accuracy,null_mean,null_p95,p_perm,baseline_acc,baseline_null_p95,baseline_p,n_perm,n_repeat
38,tercile_resid_group,1,,,,,0.48611111111111116,,,,0.5916666666666668,,,1000,20
38,tercile_resid_group,2,,,,,0.6083333333333333,,,,0.8216666666666667,,,1000,20
39,full,all,109,79,30,203,0.6631944444444444,0.50019487795682,0.5852103064809585,0.000999000999000999,,,,1000,20
39,tercile_resid,all,109,79,30,203,0.5925925925925927,0.49939323353657017,0.5962493313033465,0.055944055944055944,0.6391666666666667,,,1000,20
39,tercile_resid_group,0,,,,,0.675,,,,0.5041666666666665,,,1000,20
39,tercile_resid_group,1,,,,,0.49027777777777776,,,,0.5916666666666668,,,1000,20
39,tercile_resid_group,2,,,,,0.6125,,,,0.8216666666666667,,,1000,20
40,full,all,109,79,30,203,0.653472222222222,0.5005114843691926,0.587588275653493,0.002997002997002997,,,,1000,20
40,tercile_resid,all,109,79,30,203,0.5819444444444445,0.4995645647295067,0.596875078079071,0.08091908091908091,0.6391666666666667,,,1000,20
40,tercile_resid_group,0,,,,,0.6416666666666667,,,,0.5041666666666665,,,1000,20
40,tercile_resid_group,1,,,,,0.5000000000000001,,,,0.5916666666666668,,,1000,20
40,tercile_resid_group,2,,,,,0.6041666666666667,,,,0.8216666666666667,,,1000,20
41,full,all,109,79,30,203,0.6569444444444443,0.5008959536149641,0.5888503595708804,0.000999000999000999,,,,1000,20
41,tercile_resid,all,109,79,30,203,0.5750000000000001,0.49944930801806653,0.596316312095826,0.09290709290709291,0.6391666666666667,,,1000,20
41,tercile_resid_group,0,,,,,0.6263888888888889,,,,0.5041666666666665,,,1000,20
41,tercile_resid_group,1,,,,,0.5194444444444446,,,,0.5916666666666668,,,1000,20
41,tercile_resid_group,2,,,,,0.5791666666666667,,,,0.8216666666666667,,,1000,20
42,full,all,109,79,30,203,0.657986111111111,0.5010719583304092,0.5897535881489686,0.000999000999000999,,,,1000,20
42,tercile_resid,all,109,79,30,203,0.5693518518518519,0.4994758824323358,0.5968125000000001,0.11288711288711288,0.6391666666666667,,,1000,20
42,tercile_resid_group,0,,,,,0.6236111111111111,,,,0.5041666666666665,,,1000,20
42,tercile_resid_group,1,,,,,0.5111111111111112,,,,0.5916666666666668,,,1000,20
42,tercile_resid_group,2,,,,,0.5733333333333334,,,,0.8216666666666667,,,1000,20
43,full,all,109,79,30,203,0.6513888888888889,0.5010349789934796,0.5914363443621594,0.000999000999000999,,,,1000,20
43,tercile_resid,all,109,79,30,203,0.5710185185185186,0.49928615455444253,0.5954569574012191,0.10589410589410589,0.6391666666666667,,,1000,20
43,tercile_resid_group,0,,,,,0.6138888888888889,,,,0.5041666666666665,,,1000,20
43,tercile_resid_group,1,,,,,0.5166666666666668,,,,0.5916666666666668,,,1000,20
43,tercile_resid_group,2,,,,,0.5825,,,,0.8216666666666667,,,1000,20
44,full,all,109,79,30,203,0.6378472222222221,0.5012967707385075,0.5907315164605924,0.004995004995004995,,,,1000,20
44,tercile_resid,all,109,79,30,203,0.5724074074074074,0.49973981864423184,0.5937026932686655,0.1018981018981019,0.6391666666666667,,,1000,20
44,tercile_resid_group,0,,,,,0.6041666666666667,,,,0.5041666666666665,,,1000,20
44,tercile_resid_group,1,,,,,0.5180555555555556,,,,0.5916666666666668,,,1000,20
44,tercile_resid_group,2,,,,,0.595,,,,0.8216666666666667,,,1000,20
45,full,all,109,79,30,203,0.6357638888888889,0.5013391824379041,0.5909995230559324,0.006993006993006993,,,,1000,20
45,tercile_resid,all,109,79,30,203,0.5789814814814815,0.49992060711809716,0.5955655506435842,0.08091908091908091,0.6391666666666667,,,1000,20
45,tercile_resid_group,0,,,,,0.6166666666666667,,,,0.5041666666666665,,,1000,20
45,tercile_resid_group,1,,,,,0.5277777777777779,,,,0.5916666666666668,,,1000,20
45,tercile_resid_group,2,,,,,0.5925,,,,0.8216666666666667,,,1000,20
46,full,all,109,79,30,203,0.6364583333333333,0.5010981565320928,0.5920066828099437,0.007992007992007992,,,,1000,20
46,tercile_resid,all,109,79,30,203,0.586574074074074,0.4997008868664894,0.5979526295085935,0.06893106893106893,0.6391666666666667,,,1000,20
46,tercile_resid_group,0,,,,,0.6375,,,,0.5041666666666665,,,1000,20
46,tercile_resid_group,1,,,,,0.5263888888888889,,,,0.5916666666666668,,,1000,20
46,tercile_resid_group,2,,,,,0.5958333333333333,,,,0.8216666666666667,,,1000,20
